Created by PLY version 3.11 (http://www.dabeaz.com/ply)

Unused terminals:

    COMMENT

Grammar

Rule 0     S' -> program
    (12) instruction -> . loop_instruction
    (13) instruction -> . return_instruction
    (14) instruction -> . instructions_block
    (33) assignment -> . ID = token
    (34) assignment -> . MID = elem
    (35) assignment -> . ID ADDASSIGN token
    (36) assignment -> . ID SUBASSIGN token
    (37) assignment -> . ID MULASSIGN token
    (38) assignment -> . ID DIVASSIGN token
    (15) if_instruction -> . IF ( relational_expr ) instructions_block
    (16) if_instruction -> . IF ( relational_expr ) instruction
    (17) if_instruction -> . IF ( relational_expr ) instructions_block ELSE instruction
    (18) if_instruction -> . IF ( relational_expr ) instruction ELSE instruction
    (19) for_instruction -> . FOR ID = INTNUM : ID instructions_block
    (20) for_instruction -> . FOR ID = INTNUM : ID instruction
    (21) for_instruction -> . FOR ID = ID : ID instructions_block
    (22) for_instruction -> . FOR ID = ID : ID instruction
    (23) while_instruction -> . WHILE ( relational_expr ) instructions_block
    (24) while_instruction -> . WHILE ( relational_expr ) instruction
    (28) print_instruction -> . PRINT print_list ;
    (25) loop_instruction -> . BREAK ;
    (26) loop_instruction -> . CONTINUE ;
    (27) return_instruction -> . RETURN expr ;
    (4) instructions_block -> . { instructions }
    (60) MID -> . ID [ INTNUM , INTNUM ]

    $end            reduce using rule 2 (instructions_opt -> instructions .)
    ID              shift and go to state 13
    IF              shift and go to state 15
    FOR             shift and go to state 16
    WHILE           shift and go to state 17
    PRINT           shift and go to state 18
    BREAK           shift and go to state 19
    CONTINUE        shift and go to state 20
    RETURN          shift and go to state 21
    {               shift and go to state 22

    instruction                    shift and go to state 23
    assignment                     shift and go to state 5
    if_instruction                 shift and go to state 6
    for_instruction                shift and go to state 7
    while_instruction              shift and go to state 8
    print_instruction              shift and go to state 9
    loop_instruction               shift and go to state 10
    return_instruction             shift and go to state 11
    instructions_block             shift and go to state 12
    MID                            shift and go to state 14

state 4

    (6) instructions -> instruction .

    ID              reduce using rule 6 (instructions -> instruction .)
    IF              reduce using rule 6 (instructions -> instruction .)
    FOR             reduce using rule 6 (instructions -> instruction .)
    WHILE           reduce using rule 6 (instructions -> instruction .)
    PRINT           reduce using rule 6 (instructions -> instruction .)
    BREAK           reduce using rule 6 (instructions -> instruction .)
    CONTINUE        reduce using rule 6 (instructions -> instruction .)
    RETURN          reduce using rule 6 (instructions -> instruction .)
    {               reduce using rule 6 (instructions -> instruction .)
    $end            reduce using rule 6 (instructions -> instruction .)
    }               reduce using rule 6 (instructions -> instruction .)


state 5

    (7) instruction -> assignment . ;

    ;               shift and go to state 24


state 6

    (8) instruction -> if_instruction .

    ID              reduce using rule 8 (instruction -> if_instruction .)
    IF              reduce using rule 8 (instruction -> if_instruction .)
    FOR             reduce using rule 8 (instruction -> if_instruction .)
    WHILE           reduce using rule 8 (instruction -> if_instruction .)
    PRINT           reduce using rule 8 (instruction -> if_instruction .)
    BREAK           reduce using rule 8 (instruction -> if_instruction .)
    CONTINUE        reduce using rule 8 (instruction -> if_instruction .)
    RETURN          reduce using rule 8 (instruction -> if_instruction .)
    {               reduce using rule 8 (instruction -> if_instruction .)
    $end            reduce using rule 8 (instruction -> if_instruction .)
    }               reduce using rule 8 (instruction -> if_instruction .)
    ELSE            reduce using rule 8 (instruction -> if_instruction .)


state 7

    (9) instruction -> for_instruction .

    ID              reduce using rule 9 (instruction -> for_instruction .)
    IF              reduce using rule 9 (instruction -> for_instruction .)
    FOR             reduce using rule 9 (instruction -> for_instruction .)
    WHILE           reduce using rule 9 (instruction -> for_instruction .)
    PRINT           reduce using rule 9 (instruction -> for_instruction .)
    BREAK           reduce using rule 9 (instruction -> for_instruction .)
    CONTINUE        reduce using rule 9 (instruction -> for_instruction .)
    RETURN          reduce using rule 9 (instruction -> for_instruction .)
    {               reduce using rule 9 (instruction -> for_instruction .)
    $end            reduce using rule 9 (instruction -> for_instruction .)
    }               reduce using rule 9 (instruction -> for_instruction .)
    ELSE            reduce using rule 9 (instruction -> for_instruction .)


state 8

    (10) instruction -> while_instruction .

    ID              reduce using rule 10 (instruction -> while_instruction .)
    IF              reduce using rule 10 (instruction -> while_instruction .)
    FOR             reduce using rule 10 (instruction -> while_instruction .)
    WHILE           reduce using rule 10 (instruction -> while_instruction .)
    PRINT           reduce using rule 10 (instruction -> while_instruction .)
    BREAK           reduce using rule 10 (instruction -> while_instruction .)
    CONTINUE        reduce using rule 10 (instruction -> while_instruction .)
    RETURN          reduce using rule 10 (instruction -> while_instruction .)
    {               reduce using rule 10 (instruction -> while_instruction .)
    $end            reduce using rule 10 (instruction -> while_instruction .)
    }               reduce using rule 10 (instruction -> while_instruction .)
    ELSE            reduce using rule 10 (instruction -> while_instruction .)


state 9

    (11) instruction -> print_instruction .

    ID              reduce using rule 11 (instruction -> print_instruction .)
    IF              reduce using rule 11 (instruction -> print_instruction .)
    FOR             reduce using rule 11 (instruction -> print_instruction .)
    WHILE           reduce using rule 11 (instruction -> print_instruction .)
    PRINT           reduce using rule 11 (instruction -> print_instruction .)
    BREAK           reduce using rule 11 (instruction -> print_instruction .)
    CONTINUE        reduce using rule 11 (instruction -> print_instruction .)
    RETURN          reduce using rule 11 (instruction -> print_instruction .)
    {               reduce using rule 11 (instruction -> print_instruction .)
    $end            reduce using rule 11 (instruction -> print_instruction .)
    }               reduce using rule 11 (instruction -> print_instruction .)
    ELSE            reduce using rule 11 (instruction -> print_instruction .)


state 10

    (12) instruction -> loop_instruction .

    ID              reduce using rule 12 (instruction -> loop_instruction .)
    IF              reduce using rule 12 (instruction -> loop_instruction .)
    FOR             reduce using rule 12 (instruction -> loop_instruction .)
    WHILE           reduce using rule 12 (instruction -> loop_instruction .)
    PRINT           reduce using rule 12 (instruction -> loop_instruction .)
    BREAK           reduce using rule 12 (instruction -> loop_instruction .)
    CONTINUE        reduce using rule 12 (instruction -> loop_instruction .)
    RETURN          reduce using rule 12 (instruction -> loop_instruction .)
    {               reduce using rule 12 (instruction -> loop_instruction .)
    $end            reduce using rule 12 (instruction -> loop_instruction .)
    }               reduce using rule 12 (instruction -> loop_instruction .)
    ELSE            reduce using rule 12 (instruction -> loop_instruction .)


state 11

    (13) instruction -> return_instruction .

    ID              reduce using rule 13 (instruction -> return_instruction .)
    IF              reduce using rule 13 (instruction -> return_instruction .)
    FOR             reduce using rule 13 (instruction -> return_instruction .)
    WHILE           reduce using rule 13 (instruction -> return_instruction .)
    PRINT           reduce using rule 13 (instruction -> return_instruction .)
    BREAK           reduce using rule 13 (instruction -> return_instruction .)
    CONTINUE        reduce using rule 13 (instruction -> return_instruction .)
    RETURN          reduce using rule 13 (instruction -> return_instruction .)
    {               reduce using rule 13 (instruction -> return_instruction .)
    $end            reduce using rule 13 (instruction -> return_instruction .)
    }               reduce using rule 13 (instruction -> return_instruction .)
    ELSE            reduce using rule 13 (instruction -> return_instruction .)


state 12

    (14) instruction -> instructions_block .

    ID              reduce using rule 14 (instruction -> instructions_block .)
    IF              reduce using rule 14 (instruction -> instructions_block .)
    FOR             reduce using rule 14 (instruction -> instructions_block .)
    WHILE           reduce using rule 14 (instruction -> instructions_block .)
    PRINT           reduce using rule 14 (instruction -> instructions_block .)
    BREAK           reduce using rule 14 (instruction -> instructions_block .)
    CONTINUE        reduce using rule 14 (instruction -> instructions_block .)
    RETURN          reduce using rule 14 (instruction -> instructions_block .)
    {               reduce using rule 14 (instruction -> instructions_block .)
    $end            reduce using rule 14 (instruction -> instructions_block .)
    }               reduce using rule 14 (instruction -> instructions_block .)
    ELSE            reduce using rule 14 (instruction -> instructions_block .)


state 13

    (33) assignment -> ID . = token
    (35) assignment -> ID . ADDASSIGN token
    (36) assignment -> ID . SUBASSIGN token
    (37) assignment -> ID . MULASSIGN token
    (38) assignment -> ID . DIVASSIGN token
    (60) MID -> ID . [ INTNUM , INTNUM ]

    =               shift and go to state 25
    ADDASSIGN       shift and go to state 26
    SUBASSIGN       shift and go to state 27
    MULASSIGN       shift and go to state 28
    DIVASSIGN       shift and go to state 29
    [               shift and go to state 30


state 14

    (34) assignment -> MID . = elem

    =               shift and go to state 31


state 15

    (15) if_instruction -> IF . ( relational_expr ) instructions_block
    (16) if_instruction -> IF . ( relational_expr ) instruction
    (17) if_instruction -> IF . ( relational_expr ) instructions_block ELSE instruction
    (18) if_instruction -> IF . ( relational_expr ) instruction ELSE instruction

    (               shift and go to state 32


state 16

    (19) for_instruction -> FOR . ID = INTNUM : ID instructions_block
    (20) for_instruction -> FOR . ID = INTNUM : ID instruction
    (21) for_instruction -> FOR . ID = ID : ID instructions_block
    (22) for_instruction -> FOR . ID = ID : ID instruction

    ID              shift and go to state 33


state 17

    (23) while_instruction -> WHILE . ( relational_expr ) instructions_block
    (24) while_instruction -> WHILE . ( relational_expr ) instruction

    (               shift and go to state 34


state 18

    (28) print_instruction -> PRINT . print_list ;
    (29) print_list -> . print_list , expr
    (30) print_list -> . print_list , STRING
    (31) print_list -> . expr
    (32) print_list -> . STRING
    (46) expr -> . expr + term
    (47) expr -> . expr - term
    (48) expr -> . term
    (49) term -> . term * factor
    (50) term -> . term / factor
    (51) term -> . factor
    (52) factor -> . ( expr )
    (53) factor -> . elem
    (69) elem -> . ID
    (70) elem -> . INTNUM
    (71) elem -> . FLONUM

    STRING          shift and go to state 37
    (               shift and go to state 40
    ID              shift and go to state 42
    INTNUM          shift and go to state 43
    FLONUM          shift and go to state 44

    print_list                     shift and go to state 35
    expr                           shift and go to state 36
    term                           shift and go to state 38
    factor                         shift and go to state 39
    elem                           shift and go to state 41

state 19

    (25) loop_instruction -> BREAK . ;

    ;               shift and go to state 45


state 20

    (26) loop_instruction -> CONTINUE . ;

    ;               shift and go to state 46


state 21

    (27) return_instruction -> RETURN . expr ;
    (46) expr -> . expr + term
    (47) expr -> . expr - term
    (48) expr -> . term
    (49) term -> . term * factor
    (50) term -> . term / factor
    (51) term -> . factor
    (52) factor -> . ( expr )
    (53) factor -> . elem
    (69) elem -> . ID
    (70) elem -> . INTNUM
    (71) elem -> . FLONUM

    (               shift and go to state 40
    ID              shift and go to state 42
    INTNUM          shift and go to state 43
    FLONUM          shift and go to state 44

    expr                           shift and go to state 47
    term                           shift and go to state 38
    factor                         shift and go to state 39
    elem                           shift and go to state 41

state 22

    (4) instructions_block -> { . instructions }
    (5) instructions -> . instructions instruction
    (6) instructions -> . instruction
    (7) instruction -> . assignment ;
    (8) instruction -> . if_instruction
    (9) instruction -> . for_instruction
    (10) instruction -> . while_instruction
    (11) instruction -> . print_instruction
    (12) instruction -> . loop_instruction
    (13) instruction -> . return_instruction
    (14) instruction -> . instructions_block
    (33) assignment -> . ID = token
    (34) assignment -> . MID = elem
    (35) assignment -> . ID ADDASSIGN token
    (36) assignment -> . ID SUBASSIGN token
    (37) assignment -> . ID MULASSIGN token
    (38) assignment -> . ID DIVASSIGN token
    (15) if_instruction -> . IF ( relational_expr ) instructions_block
    (16) if_instruction -> . IF ( relational_expr ) instruction
    (17) if_instruction -> . IF ( relational_expr ) instructions_block ELSE instruction
    (18) if_instruction -> . IF ( relational_expr ) instruction ELSE instruction
    (19) for_instruction -> . FOR ID = INTNUM : ID instructions_block
    (20) for_instruction -> . FOR ID = INTNUM : ID instruction
    (21) for_instruction -> . FOR ID = ID : ID instructions_block
    (22) for_instruction -> . FOR ID = ID : ID instruction
    (23) while_instruction -> . WHILE ( relational_expr ) instructions_block
    (24) while_instruction -> . WHILE ( relational_expr ) instruction
    (28) print_instruction -> . PRINT print_list ;
    (25) loop_instruction -> . BREAK ;
    (26) loop_instruction -> . CONTINUE ;
    (27) return_instruction -> . RETURN expr ;
    (4) instructions_block -> . { instructions }
    (60) MID -> . ID [ INTNUM , INTNUM ]

    ID              shift and go to state 13
    IF              shift and go to state 15
    FOR             shift and go to state 16
    WHILE           shift and go to state 17
    PRINT           shift and go to state 18
    BREAK           shift and go to state 19
    CONTINUE        shift and go to state 20
    RETURN          shift and go to state 21
    {               shift and go to state 22

    instructions                   shift and go to state 48
    instruction                    shift and go to state 4
    assignment                     shift and go to state 5
    if_instruction                 shift and go to state 6
    for_instruction                shift and go to state 7
    while_instruction              shift and go to state 8
    print_instruction              shift and go to state 9
    loop_instruction               shift and go to state 10
    return_instruction             shift and go to state 11
    instructions_block             shift and go to state 12
    MID                            shift and go to state 14

state 23

    (5) instructions -> instructions instruction .

    ID              reduce using rule 5 (instructions -> instructions instruction .)
    IF              reduce using rule 5 (instructions -> instructions instruction .)
    FOR             reduce using rule 5 (instructions -> instructions instruction .)
    WHILE           reduce using rule 5 (instructions -> instructions instruction .)
    PRINT           reduce using rule 5 (instructions -> instructions instruction .)
    BREAK           reduce using rule 5 (instructions -> instructions instruction .)
    CONTINUE        reduce using rule 5 (instructions -> instructions instruction .)
    RETURN          reduce using rule 5 (instructions -> instructions instruction .)
    {               reduce using rule 5 (instructions -> instructions instruction .)
    $end            reduce using rule 5 (instructions -> instructions instruction .)
    }               reduce using rule 5 (instructions -> instructions instruction .)


state 24

    (7) instruction -> assignment ; .

    ID              reduce using rule 7 (instruction -> assignment ; .)
    IF              reduce using rule 7 (instruction -> assignment ; .)
    FOR             reduce using rule 7 (instruction -> assignment ; .)
    WHILE           reduce using rule 7 (instruction -> assignment ; .)
    PRINT           reduce using rule 7 (instruction -> assignment ; .)
    BREAK           reduce using rule 7 (instruction -> assignment ; .)
    CONTINUE        reduce using rule 7 (instruction -> assignment ; .)
    RETURN          reduce using rule 7 (instruction -> assignment ; .)
    {               reduce using rule 7 (instruction -> assignment ; .)
    $end            reduce using rule 7 (instruction -> assignment ; .)
    }               reduce using rule 7 (instruction -> assignment ; .)
    ELSE            reduce using rule 7 (instruction -> assignment ; .)


state 25

    (33) assignment -> ID = . token
    (39) token -> . ID
    (40) token -> . INTNUM
    (41) token -> . FLONUM
    (42) token -> . matrix
    (43) token -> . expr
    (44) token -> . matrix_expr
    (45) token -> . unary_expr
    (61) matrix -> . [ outerlist ]
    (62) matrix -> . ONES ( INTNUM )
    (63) matrix -> . ZEROS ( INTNUM )
    (64) matrix -> . EYE ( INTNUM )
    (46) expr -> . expr + term
    (47) expr -> . expr - term
    (48) expr -> . term
    (72) matrix_expr -> . matrix_expr DOTADD matrix_term
    (73) matrix_expr -> . matrix_expr DOTSUB matrix_term
    (74) matrix_expr -> . matrix_term
    (81) unary_expr -> . - ID
    (82) unary_expr -> . ID '
    (49) term -> . term * factor
    (50) term -> . term / factor
    (51) term -> . factor
    (75) matrix_term -> . matrix_term DOTMUL matrix_factor
    (76) matrix_term -> . matrix_term DOTDIV matrix_factor
    (77) matrix_term -> . matrix_factor
    (52) factor -> . ( expr )
    (53) factor -> . elem
    (78) matrix_factor -> . ( matrix_expr )
    (79) matrix_factor -> . matrix
    (80) matrix_factor -> . ID
    (69) elem -> . ID
    (70) elem -> . INTNUM
    (71) elem -> . FLONUM

    ID              shift and go to state 49
    INTNUM          shift and go to state 51
    FLONUM          shift and go to state 52
    [               shift and go to state 57
    ONES            shift and go to state 58
    ZEROS           shift and go to state 60
    EYE             shift and go to state 61
    -               shift and go to state 62
    (               shift and go to state 59

    token                          shift and go to state 50
    matrix                         shift and go to state 53
    expr                           shift and go to state 54
    matrix_expr                    shift and go to state 55
    unary_expr                     shift and go to state 56
    term                           shift and go to state 38
    matrix_term                    shift and go to state 63
    factor                         shift and go to state 39
    matrix_factor                  shift and go to state 64
    elem                           shift and go to state 41

state 26

    (35) assignment -> ID ADDASSIGN . token
    (39) token -> . ID
    (40) token -> . INTNUM
    (41) token -> . FLONUM
    (42) token -> . matrix
    (43) token -> . expr
    (44) token -> . matrix_expr
    (45) token -> . unary_expr
    (61) matrix -> . [ outerlist ]
    (62) matrix -> . ONES ( INTNUM )
    (63) matrix -> . ZEROS ( INTNUM )
    (64) matrix -> . EYE ( INTNUM )
    (46) expr -> . expr + term
    (47) expr -> . expr - term
    (48) expr -> . term
    (72) matrix_expr -> . matrix_expr DOTADD matrix_term
    (73) matrix_expr -> . matrix_expr DOTSUB matrix_term
    (74) matrix_expr -> . matrix_term
    (81) unary_expr -> . - ID
    (82) unary_expr -> . ID '
    (49) term -> . term * factor
    (50) term -> . term / factor
    (51) term -> . factor
    (75) matrix_term -> . matrix_term DOTMUL matrix_factor
    (76) matrix_term -> . matrix_term DOTDIV matrix_factor
    (77) matrix_term -> . matrix_factor
    (52) factor -> . ( expr )
    (53) factor -> . elem
    (78) matrix_factor -> . ( matrix_expr )
    (79) matrix_factor -> . matrix
    (80) matrix_factor -> . ID
    (69) elem -> . ID
    (70) elem -> . INTNUM
    (71) elem -> . FLONUM

    ID              shift and go to state 49
    INTNUM          shift and go to state 51
    FLONUM          shift and go to state 52
    [               shift and go to state 57
    ONES            shift and go to state 58
    ZEROS           shift and go to state 60
    EYE             shift and go to state 61
    -               shift and go to state 62
    (               shift and go to state 59

    token                          shift and go to state 65
    matrix                         shift and go to state 53
    expr                           shift and go to state 54
    matrix_expr                    shift and go to state 55
    unary_expr                     shift and go to state 56
    term                           shift and go to state 38
    matrix_term                    shift and go to state 63
    factor                         shift and go to state 39
    matrix_factor                  shift and go to state 64
    elem                           shift and go to state 41

state 27

    (36) assignment -> ID SUBASSIGN . token
    (39) token -> . ID
    (40) token -> . INTNUM
    (41) token -> . FLONUM
    (42) token -> . matrix
    (43) token -> . expr
    (44) token -> . matrix_expr
    (45) token -> . unary_expr
    (61) matrix -> . [ outerlist ]
    (62) matrix -> . ONES ( INTNUM )
    (63) matrix -> . ZEROS ( INTNUM )
    (64) matrix -> . EYE ( INTNUM )
    (46) expr -> . expr + term
    (47) expr -> . expr - term
    (48) expr -> . term
    (72) matrix_expr -> . matrix_expr DOTADD matrix_term
    (73) matrix_expr -> . matrix_expr DOTSUB matrix_term
    (74) matrix_expr -> . matrix_term
    (81) unary_expr -> . - ID
    (82) unary_expr -> . ID '
    (49) term -> . term * factor
    (50) term -> . term / factor
    (51) term -> . factor
    (75) matrix_term -> . matrix_term DOTMUL matrix_factor
    (76) matrix_term -> . matrix_term DOTDIV matrix_factor
    (77) matrix_term -> . matrix_factor
    (52) factor -> . ( expr )
    (53) factor -> . elem
    (78) matrix_factor -> . ( matrix_expr )
    (79) matrix_factor -> . matrix
    (80) matrix_factor -> . ID
    (69) elem -> . ID
    (70) elem -> . INTNUM
    (71) elem -> . FLONUM

    ID              shift and go to state 49
    INTNUM          shift and go to state 51
    FLONUM          shift and go to state 52
    [               shift and go to state 57
    ONES            shift and go to state 58
    ZEROS           shift and go to state 60
    EYE             shift and go to state 61
    -               shift and go to state 62
    (               shift and go to state 59

    token                          shift and go to state 66
    matrix                         shift and go to state 53
    expr                           shift and go to state 54
    matrix_expr                    shift and go to state 55
    unary_expr                     shift and go to state 56
    term                           shift and go to state 38
    matrix_term                    shift and go to state 63
    factor                         shift and go to state 39
    matrix_factor                  shift and go to state 64
    elem                           shift and go to state 41

state 28

    (37) assignment -> ID MULASSIGN . token
    (39) token -> . ID
    (40) token -> . INTNUM
    (41) token -> . FLONUM
    (42) token -> . matrix
    (43) token -> . expr
    (44) token -> . matrix_expr
    (45) token -> . unary_expr
    (61) matrix -> . [ outerlist ]
    (62) matrix -> . ONES ( INTNUM )
    (63) matrix -> . ZEROS ( INTNUM )
    (64) matrix -> . EYE ( INTNUM )
    (46) expr -> . expr + term
    (47) expr -> . expr - term
    (48) expr -> . term
    (72) matrix_expr -> . matrix_expr DOTADD matrix_term
    (73) matrix_expr -> . matrix_expr DOTSUB matrix_term
    (74) matrix_expr -> . matrix_term
